alcohol,alcohol2,chlorides,citric acid,color intensity,density,fixed acidity,fixed acidity2,free sulfur dioxide,pH1,pH2,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
9.4,9.43931633476524,0.076,0.0,0.7737018235418065,0.9978,2.0408543833383828,7.4,11.0,3.51,10.49,5,1.9,0.56,34.0,0.7
9.8,9.536271196320122,0.098,0.0,0.5543244246708848,0.9968,12.107711349456414,7.8,25.0,3.2,10.8,5,2.6,0.68,67.0,0.88
9.8,9.39999731633279,0.092,0.04,0.6473869645385354,0.997,6.3010840826686065,7.8,15.0,3.26,10.74,5,2.3,0.65,54.0,0.76
9.8,9.91033520327609,0.075,0.56,0.8503998798468256,0.998,1.1396314207960838,11.2,17.0,3.16,10.84,6,1.9,0.58,60.0,0.28
9.4,8.983529950399042,0.076,0.0,0.7903503167896978,0.9978,-0.8154982560313258,7.4,11.0,3.51,10.49,5,1.9,0.56,34.0,0.7
9.4,8.62743921196922,0.075,0.0,0.3327691757064654,0.9978,-8.082543228490424,7.4,13.0,3.51,10.49,5,1.8,0.56,40.0,0.66
9.4,9.149168318688572,0.069,0.06,0.6427787895976157,0.9964,13.219746390071913,7.9,15.0,3.3,10.7,5,1.6,0.46,59.0,0.6
10.0,10.09932772644652,0.065,0.0,0.4656154067762786,0.9946,19.905688450421493,7.3,15.0,3.39,10.61,7,1.2,0.47,21.0,0.65
9.5,9.41903565992901,0.073,0.02,0.4733582802162256,0.9968,6.796064965986339,7.8,9.0,3.36,10.64,7,2.0,0.57,18.0,0.58
10.5,10.880139282186022,0.071,0.36,0.5560038674383958,0.9978,3.496511849865766,7.5,17.0,3.35,10.65,5,6.1,0.8,102.0,0.5
9.2,9.255126048629506,0.09699999999999999,0.08,0.5131295101963392,0.9959,-8.023229284664897,6.7,15.0,3.28,10.72,5,1.8,0.54,65.0,0.58
10.5,10.270107104415876,0.071,0.36,0.7238750633660462,0.9978,16.63201924252178,7.5,17.0,3.35,10.65,5,6.1,0.8,102.0,0.5
9.9,9.768124934856152,0.08900000000000001,0.0,0.6123706973584064,0.9943,27.713043332394932,5.6,16.0,3.58,10.42,5,1.6,0.52,59.0,0.615
9.1,8.669037592219246,0.114,0.29,0.5095316123783207,0.9974,-10.174558043668974,7.8,9.0,3.26,10.74,5,1.6,1.56,29.0,0.61
9.2,9.525739167411778,0.17600000000000002,0.18,0.561354374172683,0.9986,-1.7343293815460683,8.9,52.0,3.16,10.84,5,3.8,0.88,145.0,0.62
9.2,8.785669974175113,0.17,0.19,0.5436309035198824,0.9986,2.10406957455856,8.9,51.0,3.17,10.83,5,3.9,0.93,148.0,0.62
10.5,10.223877710364219,0.092,0.56,0.7302776388512303,0.9969,2.8568209031751106,8.5,35.0,3.3,10.7,7,1.8,0.75,103.0,0.28
9.3,9.251914133871413,0.368,0.28,0.4569617095236675,0.9968,10.373459501434809,8.1,16.0,3.11,10.89,5,1.7,1.28,56.0,0.56
9.0,9.000705979347247,0.086,0.08,0.5403164053403142,0.9974,23.542495472802273,7.4,6.0,3.38,10.620000000000001,4,4.4,0.5,29.0,0.59
9.2,8.749204890947063,0.341,0.51,0.35258255933225524,0.9969,17.98597286860104,7.9,17.0,3.04,10.96,6,1.8,1.08,56.0,0.32
9.4,9.128339261434151,0.077,0.48,0.07932184214648288,0.9968,14.17597382774316,8.9,29.0,3.39,10.61,6,1.8,0.53,60.0,0.22
9.7,9.779512180671794,0.08199999999999999,0.31,0.595092734695178,0.9982,0.36071295941397885,7.6,23.0,3.52,10.48,5,2.3,0.65,71.0,0.39
9.5,9.838917007699099,0.106,0.21,0.6290019526396461,0.9966,-3.296282336804543,7.9,10.0,3.17,10.83,5,1.6,0.91,37.0,0.43
9.4,9.504701068627053,0.084,0.11,0.3705861941338282,0.9968,0.5322469369369909,8.5,9.0,3.17,10.83,5,2.3,0.53,67.0,0.49
9.7,9.692257071522743,0.085,0.14,0.8550421313826979,0.9968,22.380668013787385,6.9,21.0,3.43,10.57,6,2.4,0.63,40.0,0.4
